Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;APO 10 - Conta Corrente Integrado (Recria) - 0086_04 PLU_AGRO 0086 BORACEIA SP OVOS FERTEIS;PLUMA_AGRO.PPE.5407.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0088_04 PLU_AGRO 0088 MINEIROS GO OVOS FERTEIS;PLUMA_AGRO.PPE.5461.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0089_04 PLU_AGRO 0089 BRODOWSKI SP OVOS FERTEIS;PLUMA_AGRO.PPE.6471.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0092_04 PLU_AGRO 0092 MINEIROS GO OVOS FERTEIS;PLUMA_AGRO.PPE.6268.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0093_04 PLU_AGRO 0093 MINEIROS GO OVOS FERTEIS;PLUMA_AGRO.PPE.6113.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0094_04 PLU_AGRO 0094 CAFEZAL DO SUL PR OVOS FERTEIS;PLUMA_AGRO.PPE.5618.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0095_04 PLU_AGRO 0095 CAMPO VERDE MT OVOS FERTEIS;PLUMA_AGRO.PPE.6975.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0402_04 PLUSV_AGRO 0002 UMUARAMA PR OVOS FERTEIS;PLUSVAL.PPE.0775.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0410_04 PLUSV_AGRO 0010 MR HELENA PR OVOS FERTEIS;PLUSVAL.PPE.0830.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0411_04 PLUSV_AGRO 0011 RONCADOR PR OVOS FERTEIS;PLUSVAL.PPE.1223.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0414_04 PLUSV_AGRO 0014 UMUARAMA PR OVOS FERTEIS;PLUSVAL.PPE.0914.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0418_04 PLUSV_AGRO 0018 PEROLA PR OVOS FERTEIS;PLUSVAL.PPE.0909.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0419_04 PLUSV_AGRO 0019 RONCADOR PR OVOS FERTEIS;PLUSVAL.PPE.1303.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0420_04 PLUSV_AGRO 0020 PEROBAL PR OVOS FERTEIS;PLUSVAL.PPE.0705.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0421_04 PLUSV_AGRO 0021 CAF DO SUL PR OVOS FERTEIS;PLUSVAL.PPE.1181.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0502_04 CASS_AGRO 0002 CASSILANDIA MS OVOS FERTEIS;CASSILANDIA.PPE.0135.V1;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0505_04 CASS_AGRO 0005 CASSILANDIA MS OVOS FERTEIS;CASSILANDIA.PPE.0255.V1;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0902_04 PLU_GEN 0002 SAO CARLOS SP OVOS FERTEIS;PLUMA_GEN.PPE.0802.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Em Andamento
P1;APO 10 - Conta Corrente Integrado (Recria) - 0903_04 PLU_GEN 0003 BIRIGUI SP OVOS FERTEIS;PLUMA_GEN.PPE.0468.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0904_04 PLU_GEN 0004 CAMPINA GRANDE PB OVOS FERTEIS;PLUMA_GEN.PPE.0308.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0906_04 PLU_GEN 0006 SAO CARLOS SP OVOS FERTEIS;PLUMA_GEN.PPE.0793.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0907_04 PLU_GEN 0007 POMBOS PE OVOS FERTEIS;PLUMA_GEN.PPE.0397.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0908_04 PLU_GEN 0008 SAO CARLOS SP OVOS FERTEIS;PLUMA_GEN.PPE.0279.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0909_04 PLU_GEN 0009 ITIRAPINA SP OVOS FERTEIS;PLUMA_GEN.PPE.0850.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0001_04 PLU_AGRO 0001 DOIS VIZINHOS PR OVOS FERTEIS;PLUMA_AGRO.PPE.3614.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0002_04 PLU_AGRO 0002 DOIS VIZINHOS PR OVOS FERTEIS;PLUMA_AGRO.PPE.3571.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0004_04 PLU_AGRO 0004 FAXINAL DOS GUEDES SC OVOS FE;PLUMA_AGRO.PPE.2685.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0005_04 PLU_AGRO 0005 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.2988.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0007_04 PLU_AGRO 0007 SDD DO IGUACU PR OVOS FERTEIS;PLUMA_AGRO.PPE.2644.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0008_04 PLU_AGRO 0008 ENEAS MARQUES PR OVOS FERTEIS;PLUMA_AGRO.PPE.4502.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0009_04 PLU_AGRO 0009 PARDINHO SP OVOS FERTEIS;PLUMA_AGRO.PPE.3288.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 110 - Conta Corrente Integrado (Produção) - 0010_04 PLU_AGRO 0010 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.2368.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
